raceId,driverId,driverRef,circuitId,circuit_name,season,round,grid,position,positions_gained,driver_avg_finish_last5,driver_dnf_rate_last5,driver_circuit_avg_finish,driver_circuit_race_count,age
36,1,hamilton,1,Albert Park Grand Prix Circuit,2007,1,4,3,1,3.0,0.0,5.75,16,22
37,1,hamilton,2,Sepang International Circuit,2007,2,4,2,2,2.5,0.0,5.181818181818182,11,22
38,1,hamilton,3,Bahrain International Circuit,2007,3,2,2,0,2.3333333333333335,0.0,3.7058823529411766,17,22
39,1,hamilton,4,Circuit de Barcelona-Catalunya,2007,4,4,2,2,2.25,0.0,4.944444444444445,18,22
40,1,hamilton,6,Circuit de Monaco,2007,5,2,2,0,2.2,0.0,4.588235294117647,17,22
41,1,hamilton,7,Circuit Gilles Villeneuve,2007,6,1,1,0,1.8,0.0,5.666666666666667,15,22
42,1,hamilton,19,Indianapolis Motor Speedway,2007,7,1,1,0,1.6,0.0,1.0,1,22
43,1,hamilton,8,Circuit de Nevers Magny-Cours,2007,8,2,3,-1,1.8,0.0,6.5,2,22
44,1,hamilton,9,Silverstone Circuit,2007,9,1,3,-2,2.0,0.0,2.9473684210526314,19,22
45,1,hamilton,20,Nürburgring,2007,10,10,9,1,3.4,0.0,6.8,5,22
46,1,hamilton,11,Hungaroring,2007,11,1,1,0,3.4,0.0,3.388888888888889,18,22
47,1,hamilton,5,Istanbul Park,2007,12,2,5,-3,4.2,0.0,4.428571428571429,7,22
48,1,hamilton,14,Autodromo Nazionale di Monza,2007,13,2,2,0,4.0,0.0,5.944444444444445,18,22
49,1,hamilton,13,Circuit de Spa-Francorchamps,2007,14,4,4,0,4.2,0.0,7.333333333333333,18,22
50,1,hamilton,16,Fuji Speedway,2007,15,1,1,0,2.6,0.0,6.5,2,22
51,1,hamilton,17,Shanghai International Circuit,2007,16,1,19,-18,6.2,0.2,4.214285714285714,14,22
52,1,hamilton,18,Autódromo José Carlos Pace,2007,17,2,7,-5,6.6,0.2,6.352941176470588,17,22
18,1,hamilton,1,Albert Park Grand Prix Circuit,2008,1,1,1,0,6.4,0.2,5.75,16,23
19,1,hamilton,2,Sepang International Circuit,2008,2,9,5,4,6.6,0.2,5.181818181818182,11,23
20,1,hamilton,3,Bahrain International Circuit,2008,3,3,13,-10,9.0,0.2,3.7058823529411766,17,23
21,1,hamilton,4,Circuit de Barcelona-Catalunya,2008,4,5,3,2,5.8,0.0,4.944444444444445,18,23
22,1,hamilton,5,Istanbul Park,2008,5,3,2,1,4.8,0.0,4.428571428571429,7,23
23,1,hamilton,6,Circuit de Monaco,2008,6,3,1,2,4.8,0.0,4.588235294117647,17,23
24,1,hamilton,7,Circuit Gilles Villeneuve,2008,7,1,19,-18,7.6,0.2,5.666666666666667,15,23
25,1,hamilton,8,Circuit de Nevers Magny-Cours,2008,8,13,10,3,7.0,0.2,6.5,2,23
26,1,hamilton,9,Silverstone Circuit,2008,9,4,1,3,6.6,0.2,2.9473684210526314,19,23
27,1,hamilton,10,Hockenheimring,2008,10,1,1,0,6.4,0.2,6.142857142857143,7,23
28,1,hamilton,11,Hungaroring,2008,11,1,5,-4,7.2,0.2,3.388888888888889,18,23
29,1,hamilton,12,Valencia Street Circuit,2008,12,2,2,0,3.8,0.0,5.8,5,23
30,1,hamilton,13,Circuit de Spa-Francorchamps,2008,13,1,3,-2,2.4,0.0,7.333333333333333,18,23
31,1,hamilton,14,Autodromo Nazionale di Monza,2008,14,15,7,8,3.6,0.0,5.944444444444445,18,23
32,1,hamilton,15,Marina Bay Street Circuit,2008,15,2,3,-1,4.0,0.0,6.866666666666666,15,23
33,1,hamilton,16,Fuji Speedway,2008,16,1,12,-11,5.4,0.0,6.5,2,23
34,1,hamilton,17,Shanghai International Circuit,2008,17,1,1,0,5.2,0.0,4.214285714285714,14,23
35,1,hamilton,18,Autódromo José Carlos Pace,2008,18,4,5,-1,5.6,0.0,6.352941176470588,17,23
1,1,hamilton,1,Albert Park Grand Prix Circuit,2009,1,18,20,-2,8.2,0.2,5.75,16,24
2,1,hamilton,2,Sepang International Circuit,2009,2,12,7,5,9.0,0.2,5.181818181818182,11,24
3,1,hamilton,17,Shanghai International Circuit,2009,3,9,6,3,7.8,0.2,4.214285714285714,14,24
4,1,hamilton,3,Bahrain International Circuit,2009,4,5,4,1,8.4,0.2,3.7058823529411766,17,24
5,1,hamilton,4,Circuit de Barcelona-Catalunya,2009,5,14,9,5,9.2,0.2,4.944444444444445,18,24
6,1,hamilton,6,Circuit de Monaco,2009,6,19,12,7,7.6,0.0,4.588235294117647,17,24
7,1,hamilton,5,Istanbul Park,2009,7,16,13,3,8.8,0.0,4.428571428571429,7,24
8,1,hamilton,9,Silverstone Circuit,2009,8,18,16,2,10.8,0.0,2.9473684210526314,19,24
9,1,hamilton,20,Nürburgring,2009,9,5,18,-13,13.6,0.0,6.8,5,24
10,1,hamilton,11,Hungaroring,2009,10,4,1,3,12.0,0.0,3.388888888888889,18,24
11,1,hamilton,12,Valencia Street Circuit,2009,11,1,2,-1,10.0,0.0,5.8,5,24
12,1,hamilton,13,Circuit de Spa-Francorchamps,2009,12,12,19,-7,11.2,0.2,7.333333333333333,18,24
13,1,hamilton,14,Autodromo Nazionale di Monza,2009,13,1,12,-11,10.4,0.2,5.944444444444445,18,24
14,1,hamilton,15,Marina Bay Street Circuit,2009,14,1,1,0,7.0,0.2,6.866666666666666,15,24
15,1,hamilton,22,Suzuka Circuit,2009,15,3,3,0,7.4,0.2,4.785714285714286,14,24
16,1,hamilton,18,Autódromo José Carlos Pace,2009,16,17,3,14,7.6,0.2,6.352941176470588,17,24
17,1,hamilton,24,Yas Marina Circuit,2009,17,1,19,-18,7.6,0.2,5.875,16,24
337,1,hamilton,3,Bahrain International Circuit,2010,1,4,3,1,5.8,0.2,3.7058823529411766,17,25
338,1,hamilton,1,Albert Park Grand Prix Circuit,2010,2,11,6,5,6.8,0.2,5.75,16,25
339,1,hamilton,2,Sepang International Circuit,2010,3,20,6,14,7.4,0.2,5.181818181818182,11,25
340,1,hamilton,17,Shanghai International Circuit,2010,4,6,2,4,7.2,0.2,4.214285714285714,14,25
341,1,hamilton,4,Circuit de Barcelona-Catalunya,2010,5,3,14,-11,6.2,0.0,4.944444444444445,18,25
342,1,hamilton,6,Circuit de Monaco,2010,6,5,5,0,6.6,0.0,4.588235294117647,17,25
343,1,hamilton,5,Istanbul Park,2010,7,2,1,1,5.6,0.0,4.428571428571429,7,25
344,1,hamilton,7,Circuit Gilles Villeneuve,2010,8,1,1,0,4.6,0.0,5.666666666666667,15,25
345,1,hamilton,12,Valencia Street Circuit,2010,9,3,2,1,4.6,0.0,5.8,5,25
346,1,hamilton,9,Silverstone Circuit,2010,10,4,2,2,2.2,0.0,2.9473684210526314,19,25
347,1,hamilton,10,Hockenheimring,2010,11,6,4,2,2.0,0.0,6.142857142857143,7,25
348,1,hamilton,11,Hungaroring,2010,12,5,20,-15,5.8,0.2,3.388888888888889,18,25
349,1,hamilton,13,Circuit de Spa-Francorchamps,2010,13,2,1,1,5.8,0.2,7.333333333333333,18,25
350,1,hamilton,14,Autodromo Nazionale di Monza,2010,14,5,23,-18,10.0,0.4,5.944444444444445,18,25
351,1,hamilton,15,Marina Bay Street Circuit,2010,15,3,19,-16,13.4,0.6,6.866666666666666,15,25
352,1,hamilton,22,Suzuka Circuit,2010,16,8,5,3,13.6,0.6,4.785714285714286,14,25
353,1,hamilton,35,Korean International Circuit,2010,17,4,2,2,10.0,0.4,4.75,4,25
354,1,hamilton,18,Autódromo José Carlos Pace,2010,18,4,4,0,10.6,0.4,6.352941176470588,17,25
355,1,hamilton,24,Yas Marina Circuit,2010,19,2,2,0,6.4,0.2,5.875,16,25
841,1,hamilton,1,Albert Park Grand Prix Circuit,2011,1,2,2,0,3.0,0.0,5.75,16,26
842,1,hamilton,2,Sepang International Circuit,2011,2,2,8,-6,3.6,0.0,5.181818181818182,11,26
843,1,hamilton,17,Shanghai International Circuit,2011,3,3,1,2,3.4,0.0,4.214285714285714,14,26
844,1,hamilton,5,Istanbul Park,2011,4,4,4,0,3.4,0.0,4.428571428571429,7,26
845,1,hamilton,4,Circuit de Barcelona-Catalunya,2011,5,3,2,1,3.4,0.0,4.944444444444445,18,26
846,1,hamilton,6,Circuit de Monaco,2011,6,9,6,3,4.2,0.0,4.588235294117647,17,26
847,1,hamilton,7,Circuit Gilles Villeneuve,2011,7,5,24,-19,7.4,0.2,5.666666666666667,15,26
848,1,hamilton,12,Valencia Street Circuit,2011,8,3,4,-1,8.0,0.2,5.8,5,26
849,1,hamilton,9,Silverstone Circuit,2011,9,10,4,6,8.0,0.2,2.9473684210526314,19,26
850,1,hamilton,20,Nürburgring,2011,10,2,1,1,7.8,0.2,6.8,5,26
851,1,hamilton,11,Hungaroring,2011,11,2,4,-2,7.4,0.2,3.388888888888889,18,26
852,1,hamilton,13,Circuit de Spa-Francorchamps,2011,12,2,22,-20,7.0,0.2,7.333333333333333,18,26
853,1,hamilton,14,Autodromo Nazionale di Monza,2011,13,2,4,-2,7.0,0.2,5.944444444444445,18,26
854,1,hamilton,15,Marina Bay Street Circuit,2011,14,4,5,-1,7.2,0.2,6.866666666666666,15,26
855,1,hamilton,22,Suzuka Circuit,2011,15,3,5,-2,8.0,0.2,4.785714285714286,14,26
856,1,hamilton,35,Korean International Circuit,2011,16,1,2,-1,7.6,0.2,4.75,4,26
857,1,hamilton,68,Buddh International Circuit,2011,17,5,7,-2,4.6,0.0,5.666666666666667,3,26
858,1,hamilton,24,Yas Marina Circuit,2011,18,2,1,1,4.0,0.0,5.875,16,26
859,1,hamilton,18,Autódromo José Carlos Pace,2011,19,4,22,-18,7.4,0.2,6.352941176470588,17,26
860,1,hamilton,1,Albert Park Grand Prix Circuit,2012,1,1,3,-2,7.0,0.2,5.75,16,27
861,1,hamilton,2,Sepang International Circuit,2012,2,1,3,-2,7.2,0.2,5.181818181818182,11,27
862,1,hamilton,17,Shanghai International Circuit,2012,3,7,3,4,6.4,0.2,4.214285714285714,14,27
863,1,hamilton,3,Bahrain International Circuit,2012,4,2,8,-6,7.8,0.2,3.7058823529411766,17,27
864,1,hamilton,4,Circuit de Barcelona-Catalunya,2012,5,24,8,16,5.0,0.0,4.944444444444445,18,27
865,1,hamilton,6,Circuit de Monaco,2012,6,3,5,-2,5.4,0.0,4.588235294117647,17,27
866,1,hamilton,7,Circuit Gilles Villeneuve,2012,7,2,1,1,5.0,0.0,5.666666666666667,15,27
867,1,hamilton,12,Valencia Street Circuit,2012,8,2,19,-17,8.2,0.0,5.8,5,27
868,1,hamilton,9,Silverstone Circuit,2012,9,8,8,0,8.2,0.0,2.9473684210526314,19,27
869,1,hamilton,10,Hockenheimring,2012,10,7,24,-17,11.4,0.2,6.142857142857143,7,27
870,1,hamilton,11,Hungaroring,2012,11,1,1,0,10.6,0.2,3.388888888888889,18,27
871,1,hamilton,13,Circuit de Spa-Francorchamps,2012,12,7,23,-16,15.0,0.4,7.333333333333333,18,27
872,1,hamilton,14,Autodromo Nazionale di Monza,2012,13,1,1,0,11.4,0.4,5.944444444444445,18,27
873,1,hamilton,15,Marina Bay Street Circuit,2012,14,1,24,-23,14.6,0.6,6.866666666666666,15,27
874,1,hamilton,22,Suzuka Circuit,2012,15,9,5,4,10.8,0.4,4.785714285714286,14,27
875,1,hamilton,35,Korean International Circuit,2012,16,3,10,-7,12.6,0.4,4.75,4,27
876,1,hamilton,68,Buddh International Circuit,2012,17,3,4,-1,8.8,0.2,5.666666666666667,3,27
877,1,hamilton,24,Yas Marina Circuit,2012,18,1,21,-20,12.8,0.4,5.875,16,27
878,1,hamilton,69,Circuit of the Americas,2012,19,2,1,1,8.2,0.2,4.75,12,27
879,1,hamilton,18,Autódromo José Carlos Pace,2012,20,1,20,-19,11.2,0.4,6.352941176470588,17,27
880,1,hamilton,1,Albert Park Grand Prix Circuit,2013,1,3,5,-2,10.2,0.4,5.75,16,28
881,1,hamilton,2,Sepang International Circuit,2013,2,4,3,1,10.0,0.4,5.181818181818182,11,28
882,1,hamilton,17,Shanghai International Circuit,2013,3,1,3,-2,6.4,0.2,4.214285714285714,14,28
883,1,hamilton,3,Bahrain International Circuit,2013,4,9,5,4,7.2,0.2,3.7058823529411766,17,28
884,1,hamilton,4,Circuit de Barcelona-Catalunya,2013,5,2,12,-10,5.6,0.0,4.944444444444445,18,28
885,1,hamilton,6,Circuit de Monaco,2013,6,2,4,-2,5.4,0.0,4.588235294117647,17,28
886,1,hamilton,7,Circuit Gilles Villeneuve,2013,7,2,3,-1,5.4,0.0,5.666666666666667,15,28
887,1,hamilton,9,Silverstone Circuit,2013,8,1,4,-3,5.6,0.0,2.9473684210526314,19,28
888,1,hamilton,20,Nürburgring,2013,9,1,5,-4,5.6,0.0,6.8,5,28
890,1,hamilton,11,Hungaroring,2013,10,1,1,0,3.4,0.0,3.388888888888889,18,28
891,1,hamilton,13,Circuit de Spa-Francorchamps,2013,11,1,3,-2,3.2,0.0,7.333333333333333,18,28
892,1,hamilton,14,Autodromo Nazionale di Monza,2013,12,12,9,3,4.4,0.0,5.944444444444445,18,28
893,1,hamilton,15,Marina Bay Street Circuit,2013,13,5,5,0,4.6,0.0,6.866666666666666,15,28
894,1,hamilton,35,Korean International Circuit,2013,14,2,5,-3,4.6,0.0,4.75,4,28
895,1,hamilton,22,Suzuka Circuit,2013,15,3,20,-17,8.4,0.2,4.785714285714286,14,28
896,1,hamilton,68,Buddh International Circuit,2013,16,3,6,-3,9.0,0.2,5.666666666666667,3,28
897,1,hamilton,24,Yas Marina Circuit,2013,17,4,7,-3,8.6,0.2,5.875,16,28
898,1,hamilton,69,Circuit of the Americas,2013,18,5,4,1,8.4,0.2,4.75,12,28
899,1,hamilton,18,Autódromo José Carlos Pace,2013,19,5,9,-4,9.2,0.2,6.352941176470588,17,28
900,1,hamilton,1,Albert Park Grand Prix Circuit,2014,1,1,19,-18,9.0,0.2,5.75,16,29
901,1,hamilton,2,Sepang International Circuit,2014,2,1,1,0,8.0,0.2,5.181818181818182,11,29
902,1,hamilton,3,Bahrain International Circuit,2014,3,2,1,1,6.8,0.2,3.7058823529411766,17,29
903,1,hamilton,17,Shanghai International Circuit,2014,4,1,1,0,6.2,0.2,4.214285714285714,14,29
904,1,hamilton,4,Circuit de Barcelona-Catalunya,2014,5,1,1,0,4.6,0.2,4.944444444444445,18,29
905,1,hamilton,6,Circuit de Monaco,2014,6,2,2,0,1.2,0.0,4.588235294117647,17,29
906,1,hamilton,7,Circuit Gilles Villeneuve,2014,7,2,17,-15,4.4,0.2,5.666666666666667,15,29
907,1,hamilton,70,Red Bull Ring,2014,8,9,2,7,4.6,0.2,4.3076923076923075,13,29
908,1,hamilton,9,Silverstone Circuit,2014,9,6,1,5,4.6,0.2,2.9473684210526314,19,29
909,1,hamilton,10,Hockenheimring,2014,10,20,3,17,5.0,0.2,6.142857142857143,7,29
910,1,hamilton,11,Hungaroring,2014,11,22,3,19,5.2,0.2,3.388888888888889,18,29
911,1,hamilton,13,Circuit de Spa-Francorchamps,2014,12,2,19,-17,5.6,0.2,7.333333333333333,18,29
