resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name,date,circuitRef,lat,lng,alt,dob,nationality,constructorRef,con_nationality,grid_pos,finish_pos,dnf,won,podium,driver_age,is_street,drv_roll5_finish,drv_roll5_points,drv_roll5_dnf,drv_roll5_grid,drv_experience,drv_circuit_win_rate,drv_circuit_podium_rate,con_roll5_finish,con_roll5_points,con_roll5_dnf,con_avg_pit,champ_pts,champ_pos,champ_wins,con_champ_pts,con_champ_pos,max_round,season_progress,pos_gained,overtaking_idx
2949,158,14,1,2,2,,R,19,0.0,11,,,,,,,5,2000,1,1,Australian Grand Prix,2000-03-12,albert_park,-37.8497,144.968,10,1971-03-27,British,mclaren,British,2,19,1,0,0,28.960985626283367,0,11.4,1.6,0.2,10.8,0,0.0,0.0,11.4,1.6,0.2,22.04942857142857,12.0,11.0,0.0,26.0,6.0,17,0.058823529411764705,-17,-0.3408624229979466
2947,158,57,1,1,1,,R,17,0.0,18,,,,,,,5,2000,1,1,Australian Grand Prix,2000-03-12,albert_park,-37.8497,144.968,10,1968-09-28,Finnish,mclaren,British,1,17,1,0,0,31.45242984257358,0,11.4,1.6,0.2,10.8,0,0.0,0.0,19.0,0.0,1.0,22.04942857142857,12.0,11.0,0.0,26.0,6.0,17,0.058823529411764705,-16,-0.3408624229979466
2963,159,14,1,2,2,,D,11,0.0,71,,,,,,,2,2000,2,18,Brazilian Grand Prix,2000-03-26,interlagos,-23.7036,-46.6997,785,1971-03-27,British,mclaren,British,2,11,1,0,0,28.999315537303218,0,19.0,0.0,1.0,2.0,1,0.0,0.0,18.0,0.0,1.0,23.064275862068968,12.0,11.0,0.0,26.0,6.0,17,0.11764705882352941,-9,-0.21031746031746032
2966,159,57,1,1,1,,R,14,0.0,30,,,,,,,51,2000,2,18,Brazilian Grand Prix,2000-03-26,interlagos,-23.7036,-46.6997,785,1968-09-28,Finnish,mclaren,British,1,14,1,0,0,31.49075975359343,0,17.0,0.0,1.0,1.0,1,0.0,0.0,15.666666666666666,0.0,1.0,23.064275862068968,12.0,11.0,0.0,26.0,6.0,17,0.11764705882352941,-13,-0.21031746031746032
2977,160,14,1,2,3,3.0,3,3,4.0,62,+51.008,5550784.0,,,,,1,2000,3,21,San Marino Grand Prix,2000-04-09,imola,44.3439,11.7167,37,1971-03-27,British,mclaren,British,3,3,0,0,1,29.037645448323065,0,15.0,0.0,1.0,2.0,2,0.0,0.0,15.25,0.0,1.0,30.681583333333336,65.0,2.0,2.0,102.0,2.0,17,0.17647058823529413,0,-0.23684210526315788
2976,160,57,1,1,1,2.0,2,2,6.0,62,+1.168,5500944.0,,,,,1,2000,3,21,San Marino Grand Prix,2000-04-09,imola,44.3439,11.7167,37,1968-09-28,Finnish,mclaren,British,1,2,0,0,1,31.529089664613277,0,15.5,0.0,1.0,1.0,2,0.0,0.0,12.8,0.8,0.8,30.681583333333336,37.0,5.0,2.0,102.0,2.0,17,0.17647058823529413,-1,-0.23684210526315788
2997,161,14,1,2,4,1.0,1,1,10.0,60,1:28:50.108,5330108.0,,,,,1,2000,4,9,British Grand Prix,2000-04-23,silverstone,52.0786,-1.01694,153,1971-03-27,British,mclaren,British,4,1,0,1,1,29.075975359342916,0,11.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,3,0.0,0.0,9.4,2.0,0.6,28.210826923076922,4.0,7.0,0.0,10.0,2.0,17,0.23529411764705882,3,-0.14990859232175502
2998,161,57,1,1,3,2.0,2,2,6.0,60,+1.477,5331585.0,,,,,1,2000,4,9,British Grand Prix,2000-04-23,silverstone,52.0786,-1.01694,153,1968-09-28,Finnish,mclaren,British,3,2,0,0,1,31.567419575633128,0,11.0,2.0,0.6666666666666666,1.0,3,0.0,0.0,6.2,4.0,0.4,28.210826923076922,6.0,4.0,0.0,10.0,2.0,17,0.23529411764705882,1,-0.14990859232175502
3020,162,14,1,2,4,2.0,2,2,6.0,65,+16.066,5651456.0,,,,,1,2000,5,4,Spanish Grand Prix,2000-05-07,catalunya,41.57,2.26111,109,1971-03-27,British,mclaren,British,4,2,0,0,1,29.114305270362767,0,8.5,3.5,0.5,2.75,4,0.0,0.0,4.4,5.2,0.2,22.03984126984127,14.0,2.0,1.0,26.0,2.0,17,0.29411764705882354,2,-0.07575757575757576
3019,162,57,1,1,2,1.0,1,1,10.0,65,1:33:55.390,5635390.0,,,,,1,2000,5,4,Spanish Grand Prix,2000-05-07,catalunya,41.57,2.26111,109,1968-09-28,Finnish,mclaren,British,2,1,0,1,1,31.60574948665298,0,8.75,3.0,0.5,1.5,4,0.0,0.0,2.0,6.4,0.0,22.03984126984127,12.0,3.0,0.0,26.0,2.0,17,0.29411764705882354,1,-0.07575757575757576
